Node, 6108
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
1, 5.606933497E-03, -1.620963405E-03, -1.61311352E-03, -3.396623797E-04, 3.312373849E-06, 6.990384691E-05, 0.372088876, -0.186347788, -0.185741082, -2.623617998E-02, 2.560087105E-04, 5.399226706E-03, 1136.39633, 24.4121654, 25.6198373, -26.1278753, 0.254797993, 5.37721899
1.2, 4.501008603E-03, -1.299158102E-03, -1.295946873E-03, -3.180838175E-04, 7.597744343E-06, -1.734390135E-04, 0.372088876, -0.186347788, -0.185741082, -2.623617998E-02, 2.560087105E-04, 5.399226706E-03, 912.374825, 20.0414815, 20.5355146, -24.4679861, 0.584441863, -13.3414625
1.4, 3.395083564E-03, -9.773527854E-04, -9.787801901E-04, -2.96505299E-04, 1.188312251E-05, -4.167818697E-04, 0.372088876, -0.186347788, -0.185741082, -2.623617998E-02, 2.560087105E-04, 5.399226706E-03, 688.35331, 15.6707987, 15.4511976, -22.8080995, 0.914086349, -32.0601439
1.7, 1.736196107E-03, -4.946448207E-04, -5.030301545E-04, -2.641375104E-04, 1.831118914E-05, -7.817961596E-04, 0.372088876, -0.186347788, -0.185741082, -2.623617998E-02, 2.560087105E-04, 5.399226706E-03, 352.321072, 9.11477423, 7.82472217, -20.3182695, 1.40855299, -60.1381664
2, 7.730862217E-05, -1.193685637E-05, -2.728012532E-05, -2.317697199E-04, 2.473925633E-05, -1.146810449E-03, 0.372088876, -0.186347788, -0.185741082, -2.623617998E-02, 2.560087105E-04, 5.399226706E-03, 16.2888236, 2.55874991, 0.198246996, -17.8284398, 1.90301968, -88.2161875
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
