Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)
11233	-28.66805	-2.025125	-10.18099
11234	-28.66805	-3.972425	-9.590281
11235	-28.66805	-5.767066	-8.631025
11236	-28.66805	-7.340084	-7.340084
11237	-28.66805	-8.631025	-5.767066
11238	-28.66805	-9.590281	-3.972425
11239	-28.66805	-10.18099	-2.025125
11240	-28.66805	-10.38045	-3.97E-15
11241	-28.66805	-10.18099	2.025125
11242	-28.66805	-9.590281	3.972425
11243	-28.66805	-8.631025	5.767066
11244	-28.66805	-7.340084	7.340084
11245	-28.66805	-5.767066	8.631025
11246	-28.66805	-3.972425	9.590281
11247	-28.66805	-2.025125	10.18099
11248	-28.66805	0	10.38045
11249	-28.66805	2.025125	10.18099
11250	-28.66805	3.972425	9.590281
11251	-28.66805	5.767066	8.631025
11252	-28.66805	7.340084	7.340084
11253	-28.66805	8.631025	5.767066
11254	-28.66805	9.590281	3.972425
11255	-28.66805	10.18099	2.025125
11256	-28.66805	10.38045	2.94E-15
11257	-28.66805	10.18099	-2.025125
11258	-28.66805	9.590281	-3.972425
11259	-28.66805	8.631025	-5.767066
11260	-28.66805	7.340084	-7.340084
11261	-28.66805	5.767066	-8.631025
11262	-28.66805	3.972425	-9.590281
11263	-28.66805	2.025125	-10.18099
11264	-26.7458	-1.912073	-9.61264
11265	-26.7458	-3.750666	-9.05491
11266	-26.7458	-5.445124	-8.149203
11267	-26.7458	-6.930328	-6.930328
11268	-26.7458	-8.149203	-5.445124
11269	-26.7458	-9.05491	-3.750666
11270	-26.7458	-9.61264	-1.912073
11271	-26.7458	-9.800963	-3.75E-15
11272	-26.7458	-9.61264	1.912073
11273	-26.7458	-9.05491	3.750666
11274	-26.7458	-8.149203	5.445124
11275	-26.7458	-6.930328	6.930328
11276	-26.7458	-5.445124	8.149203
11277	-26.7458	-3.750666	9.05491
11278	-26.7458	-1.912073	9.61264
11279	-26.7458	0	9.800963
11280	-26.7458	1.912073	9.61264
11281	-26.7458	3.750666	9.05491
11282	-26.7458	5.445124	8.149203
11283	-26.7458	6.930328	6.930328
11284	-26.7458	8.149203	5.445124
11285	-26.7458	9.05491	3.750666
11286	-26.7458	9.61264	1.912073
11287	-26.7458	9.800963	2.78E-15
11288	-26.7458	9.61264	-1.912073
11289	-26.7458	9.05491	-3.750666
11290	-26.7458	8.149203	-5.445124
11291	-26.7458	6.930328	-6.930328
11292	-26.7458	5.445124	-8.149203
11293	-26.7458	3.750666	-9.05491
11294	-26.7458	1.912073	-9.61264
11295	-24.81184	-1.806889	-9.083844
11296	-24.81184	-3.54434	-8.556794
11297	-24.81184	-5.145584	-7.700911
11298	-24.81184	-6.549087	-6.549087
11299	-24.81184	-7.700911	-5.145584
11300	-24.81184	-8.556794	-3.54434
11301	-24.81184	-9.083844	-1.806889
11302	-24.81184	-9.261807	-3.55E-15
11303	-24.81184	-9.083844	1.806889
11304	-24.81184	-8.556794	3.54434
11305	-24.81184	-7.700911	5.145584
11306	-24.81184	-6.549087	6.549087
11307	-24.81184	-5.145584	7.700911
11308	-24.81184	-3.54434	8.556794
11309	-24.81184	-1.806889	9.083844
11310	-24.81184	0	9.261807
11311	-24.81184	1.806889	9.083844
11312	-24.81184	3.54434	8.556794
11313	-24.81184	5.145584	7.700911
11314	-24.81184	6.549087	6.549087
11315	-24.81184	7.700911	5.145584
11316	-24.81184	8.556794	3.54434
11317	-24.81184	9.083844	1.806889
11318	-24.81184	9.261807	2.62E-15
11319	-24.81184	9.083844	-1.806889
11320	-24.81184	8.556794	-3.54434
11321	-24.81184	7.700911	-5.145584
11322	-24.81184	6.549087	-6.549087
11323	-24.81184	5.145584	-7.700911
11324	-24.81184	3.54434	-8.556794
11325	-24.81184	1.806889	-9.083844
11326	-22.86704	-1.709618	-8.59483
11327	-22.86704	-3.353536	-8.096152
11328	-22.86704	-4.86858	-7.286345
11329	-22.86704	-6.196527	-6.196527
11330	-22.86704	-7.286345	-4.86858
11331	-22.86704	-8.096152	-3.353536
11332	-22.86704	-8.59483	-1.709618
11333	-22.86704	-8.763212	-3.36E-15
11334	-22.86704	-8.59483	1.709618
11335	-22.86704	-8.096152	3.353536
11336	-22.86704	-7.286345	4.86858
11337	-22.86704	-6.196527	6.196527
11338	-22.86704	-4.86858	7.286345
11339	-22.86704	-3.353536	8.096152
11340	-22.86704	-1.709618	8.59483
11341	-22.86704	0	8.763212
11342	-22.86704	1.709618	8.59483
11343	-22.86704	3.353536	8.096152
11344	-22.86704	4.86858	7.286345
11345	-22.86704	6.196527	6.196527
11346	-22.86704	7.286345	4.86858
11347	-22.86704	8.096152	3.353536
11348	-22.86704	8.59483	1.709618
